PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
Ratanová sedací souprava Gentong medová 4+1 ;Ratanová sedací souparava sestávající se ze čtyř ratanových křesel a prostorného stolku se skleněnou deskou. Konstrukce křesel je vyrobena z masivních ratanových tyčí, výplet je tvořen ratanovými proutky o průměru cca 3 mm.;/nabytek_doplnky/nahledy/3242.jpg;17900;158300;;Luxusní sedací soupravy a pohovky;Barva ratanové konstrukce i ratanového výpletu je hnědá. Velikost křesla je 95x95x79 cm, nosnost křesla je 125 kg Velikost stolku se skleněnou deskou je 90x50x50 cm Polstry na ratanová křesla jsou vyrobeny v České republice.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Jawa polstr červený;Ratanová sedací souprava Jawa vychází konstrukčně z velice oblíbené sedací soupravy Bahama. Odlišnosti naleznete v nepatrně jiných vnějších rozměrech křesel a konstrukce stolku. Sedací soupravu prodáváme jako celek 2 křesílka, stolek se sklem a sadu polstrů.;/nabytek_doplnky/nahledy/3178.jpg, /nabytek_doplnky/nahledy/4_3178.jpg, /nabytek_doplnky/nahledy/2_3178.jpg, /nabytek_doplnky/nahledy/3_3178.jpg;2999;1491;Sleva 10%;Sedací soupravy malé;Sedací souprava je vyrobena z přírodního ratanu. Barva ratanové konstrukce i výpletu je medová. Velikost křesla 67x65x72 cm, nosnost křesla je 110 kg, výška sedu je 42 cm. Průměr skleněné desky stolku je 60 cm, výška stolku je 56 cm. Polstry jsou vyrobeny v Indonesii a při prošití jsou použity obšité knoflíky. ;1;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Jawa polstr Oliver;Ratanová sedací souprava Jawa vychází konstrukčně z velice oblíbené sedací soupravy Bahama. Odlišnosti naleznete v nepatrně jiných vnějších rozměrech křesel a konstrukce stolku. Sedací soupravu prodáváme jako celek 2 křesílka, stolek se sklem a sadu polstrů.;/nabytek_doplnky/nahledy/3179.jpg, /nabytek_doplnky/nahledy/2_3179.jpg;2999;1490;Sleva 10%;Sedací soupravy malé;Sedací souprava je vyrobena z přírodního ratanu. Barva ratanové konstrukce i výpletu je medová. Velikost křesla 67x65x72 cm, nosnost křesla je 110 kg, výška sedu je 42 cm. Průměr skleněné desky stolku je 60 cm, výška stolku je 56 cm. Polstry jsou vyrobeny v Indonesii a při prošití jsou použity obšité knoflíky. ;1;0;1;;2 až 3 týdny;0;;
Ratanová sedací souprava Key Sebastien;Nádherná a originální ratanová sedací souprava jejíž výplet je krom přírodního ratanu doplněn o stonky vodního hyacintu. Souprava se skládá z pohovky, 2 křesel, stolku se skleněnou deskou a kompletní sady polstrů.;/nabytek_doplnky/nahledy/2808.jpg, /nabytek_doplnky/nahledy/2_2808.jpg;29900;589;Sleva 15%;Luxusní sedací soupravy a pohovky;Velikost pohovky je 150x91x85 cm, nosnost pohovky je 300 kg. Velikost křesla je 79x91x85 cm, nosnost křesla je 150 kg Velikost stolku se skleněnou deskou je 90x60x43 cm;1;0;1;;2 až 3 týdny;0;;
Ratanová sedací souprava Kurhouse;Retro ratanová sedací souprava vyrobená z přírodního neloupaného ratanu použitého na konstrukci soupravy a ratanu kubu tvořícího výplet. Tato kombinace dává soupravě vyjímečný přírodní vzhled.;/nabytek_doplnky/nahledy/2177.jpg;3890;157560;;Sedací soupravy malé;Velikost křesla je 57x63x78 cm a nosnost 110 kg. Stolek se skleněnou deskou má průměr 55 cm a je 54 cm vysoký.;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Kurhouse s polstry;Retro ratanová sedací souprava vyrobená z přírodního neloupaného ratanu použitého na konstrukci soupravy a ratanu kubu tvořícího výplet. Tato kombinace dává soupravě vyjímečný přírodní vzhled.;/nabytek_doplnky/nahledy/2176.jpg;3990;157561;;Sedací soupravy malé;Velikost křesla je 57x63x78 cm a nosnost 110 kg. Stolek se skleněnou deskou má průměr 55 cm a je 54 cm vysoký. Výplet je tvořen z velice pevného ratanu kubu v přírodní šedé barvě. Materiál polstrů je 100% bavlna, výplň molitan. Polstry jsou vyrobeny v ČR a jsou pratelné na 40oC;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Kurhouse velká s polstry;Retro ratanová sedací souprava vyrobená z přírodního neloupaného ratanu použitého na konstrukci soupravy a ratanu kubu tvořícího výplet. Tato kombinace dává soupravě vyjímečný přírodní vzhled.;/nabytek_doplnky/nahledy/2687.jpg;7790;157562;;Sedací soupravy malé;Výplet je tvořen z velice pevného ratanu kubu v přírodní šedé barvě. Velikost lavice je 108x63x78 cm, nosnost lavice je 160 kg. Velikost křesla je 57x63x78 cm a nosnost 110 kg. Stolek se skleněnou deskou má průměr 55 cm a je 54 cm vysoký. Materiál polstrů je 100% bavlna, výplň molitan. Polstry jsou vyrobeny v ČR a jsou pratelné na 40oC;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Lily ratan kubu levá;Ratanová sedací souprava Lily je vyrobena z teakového dřeva s výpletem za ratanu kubu v přírodní šedé barvě. Polstrování je v barvě bílé kávy.;/nabytek_doplnky/nahledy/2828.jpg;32885;588;;Luxusní sedací soupravy a pohovky;Velikost sedací soupravy je 290x210x70 cm Výška sedu je 42 cm Stolek se skleněnou deskou má velikost 110x70x48 cm Nádherná sedací souprava se jistě dominantou každého prostoru.;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Lily ratan kubu pravá;Ratanová sedací souprava Lily je vyrobena z teakového dřeva s výpletem za ratanu kubu v přírodní šedé barvě. Plstrování je v barvě bílé kávy.;/nabytek_doplnky/nahledy/2664.jpg;32885;576;;Luxusní sedací soupravy a pohovky;Velikost sedací soupravy je 290x210x70 cm Výška sedu je 42 cm Stolek se skleněnou deskou má velikost 110x70x48 cm Nádherná sedací souprava se jistě dominantou každého prostoru.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Lindsey 4+1 white wash polstry béžové;Luxusní ratanová sedací souprava vyrobená z přírodního ratanu kubu. Souprava se skládá ze čtyřech pohodlných křesel s polstry a stolku se skleněnou deskou.;/nabytek_doplnky/nahledy/3302.jpg, /nabytek_doplnky/nahledy/2_3302.jpg;18970;158803;;Sedací soupravy malé;Barva ratanové konstrukce je wite wash - vymývaná bílá. Základem je ratan kubu v přírodní šedé barvě, poté je povrch přelakován bílou barvou, která je následně za mokra omyta. Bílá barva tak zůstane pouze na některých částech konstrukce, čímž vznikne nádherný a originální vzhled výrobku. Materiál konstrukce je masivní přírodní ratan kubu, materiál výpletu je také přírodní ratan kubu v šedé barvě. Ratan kubu se vyznačuje velkou pevností a stálostí. Velikost křesla je 65x65x94 cm, nosnost křesla je 125 kg. Velikost stolku je 50x50x55 cm ;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Lindsey polstry béžové;Luxusní ratanová sedací souprava vyrobená z přírodního ratanu kubu. Souprava se skládá ze dvou pohodlných křesel a stolku se skleněnou deskou.;/nabytek_doplnky/nahledy/2456.jpg;10990;1407+1408 béžový;;Sedací soupravy malé;Materiál konstrukce je masivní přírodní ratan kubu, materiál výpletu je také přírodní ratan kubu v šedé barvě. Ratan kubu se vyznačuje velkou pevností a stálostí. Velikost křesla je 65x65x42 cm, nosnost křesla je 125 kg. Velikost stolku je 50x50x55 cm Polstry z kvalitní potahové látky se snímatelnými povlaky.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Lindsey white wash polstry béžové;Luxusní ratanová sedací souprava vyrobená z přírodního ratanu kubu. Souprava se skládá ze dvou pohodlných křesel a stolku se skleněnou deskou.;/nabytek_doplnky/nahledy/3285.jpg, /nabytek_doplnky/nahledy/2_3285.jpg;10990;158802;;Sedací soupravy malé;Barva ratanové konstrukce je wite wash - vymývaná bílá. Základem je ratan kubu v přírodní šedé barvě, poté je povrch přelakován bílou barvou, která je následně za mokra omyta. Bílá barva tak zůstane pouze na některých částech konstrukce, čímž vznikne nádherný a originální vzhled výrobku. Materiál konstrukce je masivní přírodní ratan kubu, materiál výpletu je také přírodní ratan kubu v šedé barvě. Ratan kubu se vyznačuje velkou pevností a stálostí. Velikost křesla je 65x65x94 cm, nosnost křesla je 125 kg. Velikost stolku je 50x50x55 cm ;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Maria;Ratanová sedací souprava je vyrobena z přírodního ratanu kubu. Nohy křesel a stolku jsou z mahagonového dřeva. Souprava se skládá ze 2 pohodlných křesel s polstry a stolku se skleněnou deskou;/nabytek_doplnky/nahledy/1663.jpg;12490;156251;;Sedací soupravy malé;Velikost křesla 70x72x80, výška sedu 40 cm Velikost stolku: průměr 58 cm, výška stolku je 50 cm Jedná se o luxusní sedací soupravu, která v sobě kombinuje přírodní ratan kubu s mahagonovým dřevem.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Mario;Krásná ratanová sedací souprava sestávající se ze dvou křesel, lavice a prostorného stolku se skleněnou deskou. Proutky ratanového výpletu jsou barveny ručně ještě před zapletením, což dává soupravě vyjímečný vzhled.;/nabytek_doplnky/nahledy/2174.jpg;11900;1284;Sleva 42%;Sedací soupravy malé;Spoje ratanové konstrukce jsou šroubované. Konstrukce je z masivních tyčí přírodního ratanu a výplet je tvořen ratanovými proutky o průměru cca 3 mm. Velikost lavice je 100x62x84 cm, nosnost 150 kg. Velikost křesla je 55x62x84 cm, nosnost 110 kg. Stolek se skleněnou deskou má průměr 62 cm a je vysoký 57 cm. Soupravu dopravíme zdarma po celé České republice;1;0;1;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Milano 4+1 ;Nádherná ratanová sedací souprava vyrobená z masivního přírodního ratanu. Souprava se skládá ze 4 pohodlných křesel s polstry a stolu se skleněnou deskou.;/nabytek_doplnky/nahledy/3455.jpg;19990;1538;Sleva 25%;Sedací soupravy malé;Materiál konstrukce i výpletu je masivní přírodní neloupaný ratan. Ratan se vyznačuje velkou pevností a odolností. Křeslo má díky tomu velice pevnou konstrukci Velikost křesla je 75x70x90 cm, nosnost křesla je 170 kg Velikost stolu je: průměr 90 cm, výška 80 cm ;1;0;1;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver brown wash;Ratanový nábytek - luxusní  ratanová sedací souprava z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám;/nabytek_doplnky/nahledy/1119.jpg, /nabytek_doplnky/nahledy/4_1119.jpg;24900;154103;;Luxusní sedací soupravy a pohovky;Luxusní ratanová sedací souprava Oliver se skládá z následujících komponentů: - dvou křesel o velikosti 66x91x96 cm, nosnost křesla je 120 kg - pohovky  o velikosti 120x91x96 cm, nosnost pohovky je 250 kg - konferenčního stolku sklem 90x50x50cm - odkládacího stolku se sklem 50x50x55 cm - ratanové taburetky s polstrem - kompletní sady polstrů dle fotografie. Barva ratanové konstrukce i výpletu je brown wash - medová s vymývanou hnědou. Jedná se o nádhernou ratanovou sedací soupravu, která bude jistě dominantou každého prostoru ;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver hnědá;Ratanový nábytek - luxusní  ratanová sedací souprava z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám;/nabytek_doplnky/nahledy/2317.jpg;24900;157633;;Luxusní sedací soupravy a pohovky;Luxusní ratanová sedací souprava Oliver se skládá z následujících komponentů: - dvou křesel o velikosti 66x91x96 cm, nosnost křesla je 120 kg - pohovky  o velikosti 120x91x96 cm, nosnost pohovky je 250 kg - konferenčního stolku sklem 90x50x50cm - odkládacího stolku se sklem 50x50x55 cm - ratanové taburetky s polstrem - kompletní sady polstrů dle fotografie. Barva ratanové konstrukce i výpletu je hnědá. Jedná se o nádhernou ratanovou sedací soupravu, která bude jistě dominantou každého prostoru;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver hnědá middle;Ratanový nábytek - luxusní  ratanová sedací souprava z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám.;/nabytek_doplnky/nahledy/2318.jpg;21900;157632;;Luxusní sedací soupravy a pohovky;Barva ratanové konstrukce i výpletu je hnědá. Ratanová sedací souprava Oliver obsahuje 2 křesla, pohovku pro 2 osoby, stolek se sklem (90x50x50cm) a kompletní sadu polstrů dle fotografie. Velikost křesla je 66x91x96 cm, nosnost 120 kg Velikost pohovky je 120x91x96 cm, nosnost 250 kg;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver medová ;Ratanový nábytek - luxusní  ratanová sedací souprava Oliver z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám.;/nabytek_doplnky/nahledy/2316.jpg;24900;157613;;Luxusní sedací soupravy a pohovky;Luxusní ratanová sedací souprava Oliver se skládá z následujících komponentů: - dvou křesel o velikosti 66x91x96 cm, nosnost křesla je 120 kg - pohovky  o velikosti 120x91x96 cm, nosnost pohovky je 250 kg - konferenčního stolku sklem 90x50x50cm - odkládacího stolku se sklem 50x50x55 cm - ratanové taburetky s polstrem - kompletní sady polstrů dle fotografie. Barva ratanové konstrukce i výpletu je medová. Jedná se o nádhernou ratanovou sedací soupravu, která bude jistě dominantou každého prostoru;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver medová middle;Ratanový nábytek - luxusní  ratanová sedací souprava z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám.;/nabytek_doplnky/nahledy/2319.jpg;21900;157612;;Luxusní sedací soupravy a pohovky;Barva ratanové konstrukce i výpletu je medová Ratanová sedací souprava Oliver obsahuje 2 křesla, pohovku pro 2 osoby, stolek se sklem (90x50x50cm) a kompletní sadu polstrů dle fotografie. Velikost křesla je 66x91x96 cm, nosnost 120 kg Velikost pohovky je 120x91x96 cm, nosnost 250 kg;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver middle;Ratanový nábytek - luxusní  ratanová sedací souprava z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám.;/nabytek_doplnky/nahledy/567.jpg;21785;154102;;Luxusní sedací soupravy a pohovky;Barva ratanové konstrukce i výpletu je brown wash - medová s vymývanou hnědou Ratanová sedací souprava Oliver obsahuje 2 křesla, pohovku pro 2 osoby, stolek se sklem (90x50x50cm) a kompletní sadu polstrů dle fotografie. Velikost křesla je 66x91x96 cm, nosnost 120 kg Velikost pohovky je 120x91x96 cm, nosnost 250 kg K dostání také s polstry s látkou Ebony zobrazené na další fotografii.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver Pohoda;Připravili jsme pro Vás něco pro chníle pohody - ratanovou sedací soupravu sestávající se z pohodlného křesla, taburetky a odkládacího stolku.;/nabytek_doplnky/nahledy/2417.jpg;8490;154105;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je brown wash - medová s vymývanou hnědou. Velikost křesla je 66x91x96 cm, nosnost křesla 120 kg Velikost taburetky je 60x45x45 cm, nosnost taburetky je 110 kg Velikost stolku se skleněnou deskou je 50x50x55 cm;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver Pohoda polstry Ebony;Připravili jsme pro Vás něco pro chníle pohody - ratanovou sedací soupravu sestávající se z pohodlného křesla, taburetky a odkládacího stolku.;/nabytek_doplnky/nahledy/3277.jpg;8995;154105 Ebony;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je brown wash - medová s vymývanou hnědou. Velikost křesla je 66x91x96 cm, nosnost křesla 120 kg Velikost taburetky je 60x45x45 cm, nosnost taburetky je 110 kg Velikost stolku se skleněnou deskou je 50x50x55 cm Polstry jsou vyrobeny z velice kvalitní potahové látky Ebony;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver single;Ratanový nábytek - ratanová souprava Oliver single se skládá z velice pohodlného křesla a taburetky s barvou konstrukce a polstrů ble obrázku;/nabytek_doplnky/nahledy/672.jpg;6950;154104;;Sedací soupravy malé;Velikost křesla 66x91x96 cm, nosnost křesla 120 kg Velikost taburetky 60x45x45 cm, Soupravu dopravíme Zdarma;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Oliver small;Ratanový nábytek - luxusní  ratanová sedací souprava Oliver z přírodního ratanu. Tato sedací souprava patří k díky svému designu a zpracování k nejprodávanějším ratanovým sedacím soupravám.;/nabytek_doplnky/nahledy/1118.jpg;11900;154100;;Luxusní sedací soupravy a pohovky;Barva ratanové konstrukce i výpletu je brown wash- medová s vymývanou hnědou. Ratanová sedací souprava Oliver obsahuje 2 křesla, velký stolek se skleněnou deskou  a  kompletní sadu polstrů dle fotografie. Velikost křesla je 66x91x96 cm, nosnost 120 kg Velikost stolku je 90x50x50 cm;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Paris koňak polstry hnědé;Luxusní ratanová sedací souprava Paris je vyrobena z přírodního ratanu. Pevná ratanová konstrukce je zhotovena ze silných ratanových tyčí. Souprava je vyplétána ručně z ratanových proutků průměru cca 3 mm.;/nabytek_doplnky/nahledy/2657.jpg;14990;1440 B;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je koňak. Velikost lavice 110x75x86 cm, nosnost lavice je 185 kg. Velikost křesla je 67x75x86, nosnost křesla 125 kg. Výška sedu je 47 cm. Taburetka má velikost  55x45x50 cm. Stolek se sklem průměr 60 cm, výška 62 cm.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Paris koňak polstry Oliver;Luxusní ratanová sedací souprava Paris je vyrobena z přírodního ratanu. Pevná ratanová konstrukce je zhotovena ze silných ratanových tyčí. Souprava je vyplétána ručně z ratanových proutků průměru cca 3 mm.;/nabytek_doplnky/nahledy/2656.jpg, /nabytek_doplnky/nahledy/2_2656.jpg;14990;1440 OL;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je koňak. Velikost lavice 110x75x86 cm, nosnost lavice je 185 kg. Velikost křesla je 67x75x86, nosnost křesla 125 kg. Výška sedu je 47 cm. Taburetka má velikost  55x45x50 cm. Stolek se sklem průměr 60 cm, výška 62 cm.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Paris medová polstry hnědé;Luxusní ratanová sedací souprava Paris je vyrobena z přírodního ratanu. Pevná ratanová konstrukce je zhotovena ze silných ratanových tyčí. Souprava je vyplétána ručně z ratanových proutků průměru cca 3 mm.;/nabytek_doplnky/nahledy/2653.jpg, /nabytek_doplnky/nahledy/2_2653.jpg;14990;1200 B;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je medová. Velikost lavice 110x75x86 cm, nosnost lavice je 185 kg. Velikost křesla je 67x75x86, nosnost křesla 125 kg. Výška sedu je 47 cm. Taburetka má velikost  55x45x50 cm. Stolek se sklem průměr 60 cm, výška 62 cm.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Paris medová polstry Oliver;Luxusní ratanová sedací souprava Paris je vyrobena z přírodního ratanu. Pevná ratanová konstrukce je zhotovena ze silných ratanových tyčí. Souprava je vyplétána ručně z ratanových proutků průměru cca 3 mm.;/nabytek_doplnky/nahledy/2652.jpg, /nabytek_doplnky/nahledy/2_2652.jpg;14990;1200 OL;;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je medová. Velikost lavice 110x75x86 cm, nosnost lavice je 185 kg. Velikost křesla je 67x75x86, nosnost křesla 125 kg. Výška sedu je 47 cm. Taburetka má velikost  55x45x50 cm. Stolek se sklem průměr 60 cm, výška 62 cm.;0;0;0;Teakové dřevo;2 až 3 týdny;0;;
Ratanová sedací souprava Parma ratan kubu;Ratanová sedací souprava Parma je vyrobena z masivního teakového dřeva s výpletem z ratanu kubu v přírodní šedé barvě. Sedací souprava se skládá z pohovky, 2 prostorných křesel a stolku se skleněnou deskou.;/nabytek_doplnky/nahledy/2665.jpg;34900;575;;Luxusní sedací soupravy a pohovky;Materiál konstrukce je teakové dřevo. Materiál výpletu je přírodní ratan kubu v šedé barvě. Velikost pohovky je 230x87x66 cm Velikost křesla je 130x87x66 cm, nosnost křesla je 150 kg. Výška sedu je 37 cm Velikost stolku se sklenědou deskou je 110x70x48 cm;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Penang ratan kubu levá polstry béžové ;Ratanová sedací souprava Penang je vyrobena z teakového dřeva s výpletem za ratanu kubu v přírodní šedé barvě. Polstrování je v barvě bílé kávy. Polstry mají snímatené povlaky.;/nabytek_doplnky/nahledy/3538.jpg;39900;597;;Luxusní sedací soupravy a pohovky;Velikost sedací soupravy je 285x290x95 cm ( 285 cm je šířka rovnoběžně se stěnou a 290 cm je hloubka do prostoru) Výška sedu je 43 cm Stolek se skleněnou deskou má velikost 112x70x50 cm Nádherná sedací souprava se jistě dominantou každého prostoru.;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Penang ratan kubu pravá;Ratanová sedací souprava Penang je vyrobena z teakového dřeva s výpletem za ratanu kubu v přírodní šedé barvě. Polstrování je v barvě hnědé. Polstry mají snímatené povlaky.;/nabytek_doplnky/nahledy/2837.jpg, /nabytek_doplnky/nahledy/2_2837.jpg, /nabytek_doplnky/nahledy/3_2837.jpg;39900;577;;Luxusní sedací soupravy a pohovky;Velikost sedací soupravy je 285x290x95 cm ( 285 cm je šířka rovnoběžně se stěnou a 290 cm je hloubka do prostoru) Výška sedu je 43 cm Stolek se skleněnou deskou má velikost 112x70x50 cm Nádherná sedací souprava se jistě dominantou každého prostoru.;0;0;0;;2 až 3 týdny;0;;
Ratanová sedací souprava Penang ratan kubu pravá polstry béžové;Ratanová sedací souprava Penang je vyrobena z teakového dřeva s výpletem za ratanu kubu v přírodní šedé barvě. Polstrování je v barvě bílé kávy. Polstry mají snímatené povlaky.;/nabytek_doplnky/nahledy/2838.jpg, /nabytek_doplnky/nahledy/2_2838.jpg;39900;577 béž;;Luxusní sedací soupravy a pohovky;Velikost sedací soupravy je 285x290x95 cm ( 285 cm je šířka rovnoběžně se stěnou a 290 cm je hloubka do prostoru) Výška sedu je 43 cm Stolek se skleněnou deskou má velikost 112x70x50 cm Nádherná sedací souprava se jistě dominantou každého prostoru.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Prafa koňak hnědé polstry;Luxusní ratanová sedací souprava je vyrobena z přírodního ratanu s barvou konstrukce odpovádající fotografii výrobku,obsahuje lavici,2 křesla a stolek se sklem, kompletní sadu polstrů se snímatelnými povlaky z velice kvalitní látky;/nabytek_doplnky/nahledy/2645.jpg, /nabytek_doplnky/nahledy/2_2645.jpg, /nabytek_doplnky/nahledy/3_2645.jpg;12749;529 brown;;Sedací soupravy malé;Barva ratanové konstrukce i ratanového výpletu je koňak. Velikost křesla je 76x76x78 cm, nosnost křesla je 125 kg. Velikost pohovky je 120x76x78 cm, nosnost pohovky je 200 kg. Výška sedu křesel i pohovky je 45 cm. Průměr skleněné desky stolku je 75 cm, výška stolku je 55 cm Polstry mají snímatelné povlaky a jsou vyrobeny z kvalitní potahové látky.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Prafa koňak polstry látka ebony;Luxusní ratanová sedací souprava je vyrobena z přírodního ratanu s barvou konstrukce odpovádající fotografii výrobku,obsahuje lavici,2 křesla a stolek se sklem, kompletní sadu polstrů se snímatelnými povlaky z velice kvalitní látky;/nabytek_doplnky/nahledy/2647.jpg, /nabytek_doplnky/nahledy/2_2647.jpg, /nabytek_doplnky/nahledy/3_2647.jpg;12749;529 ebony;;Sedací soupravy malé;Barva ratanové konstrukce i ratanového výpletu je koňak. Velikost křesla je 76x76x78 cm, nosnost křesla je 125 kg. Velikost pohovky je 120x76x78 cm, nosnost pohovky je 200 kg. Výška sedu křesel i pohovky je 45 cm. Průměr skleněné desky stolku je 75 cm, výška stolku je 55 cm Polstry mají snímatelné povlaky a jsou vyrobeny z kvalitní potahové látky.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Prafa vodní hyacint polstry hnědé;Nádherná ratanová sedací souprava vyrobená z masivních ratanových tyčí. Vyplétána je ručně ze stonků vodního hyacintu.;/nabytek_doplnky/nahledy/2624.jpg, /nabytek_doplnky/nahledy/4_2624.jpg, /nabytek_doplnky/nahledy/2_2624.jpg, /nabytek_doplnky/nahledy/3_2624.jpg;13975;580 brown;Sleva 10%;Sedací soupravy malé;Barva ratanové konstrukce i výpletu je brown wash - medová barva s vymývanou hnědou, čímž vznikne originální vzhled zvláště oblíbený v letoviscích jihovýchodní Asie. Velikost křesla je 76x76x78 cm, nosnost křesla je 125 kg. Velikost pohovky je 120x76x78 cm, nosnost pohovky je 200 kg. Výška sedu křesel i pohovky je 45 cm. Průměr skleněné desky stolku je 75 cm, výška stolku je 55 cm Polstry mají snímatelné povlaky a jsou vyrobeny z kvalitní potahové látky. ;1;0;1;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Prafa wicker mix polstry ebony;Nádherné ratanová sedací souprava vyrobená z masivních ratanových tyčí. Vyplétána je ručně z ratanových proutků průměru cca 3 mm. Proutky výpletu jsou barveny ručně ještě před zapletením, čímž vzniká originální design každé soupravy.;/nabytek_doplnky/nahledy/2629.jpg, /nabytek_doplnky/nahledy/2_2629.jpg, /nabytek_doplnky/nahledy/3_2629.jpg;13975;582 ebony;;Sedací soupravy malé;Barva ratanové konstrukce je hnědá, barva výpletu je wicker mix. Velikost křesla je 76x76x78 cm, nosnost křesla je 125 kg. Velikost pohovky je 120x76x78 cm, nosnost pohovky je 200 kg. Výška sedu křesel i pohovky je 45 cm. Průměr skleněné desky stolku je 75 cm, výška stolku je 55 cm Polstry mají snímatelné povlaky a jsou vyrobeny z kvalitní potahové látky.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Prafa wicker mix polstry hnědé;Nádherné ratanová sedací souprava vyrobená z masivních ratanových tyčí. Vyplétána je ručně z ratanových proutků průměru cca 3 mm. Proutky výpletu jsou barveny ručně ještě před zapletením, čímž vzniká originální design každé soupravy.;/nabytek_doplnky/nahledy/2628.jpg, /nabytek_doplnky/nahledy/3_2628.jpg;13975;582 brown;;Sedací soupravy malé;Barva ratanové konstrukce je hnědá, barva výpletu je wicker mix. Velikost křesla je 76x76x78 cm, nosnost křesla je 125 kg. Velikost pohovky je 120x76x78 cm, nosnost pohovky je 200 kg. Výška sedu křesel i pohovky je 45 cm. Průměr skleněné desky stolku je 75 cm, výška stolku je 55 cm Polstry mají snímatelné povlaky a jsou vyrobeny z kvalitní potahové látky.;0;0;0;Ratan;2 až 3 týdny;0;;
Ratanová sedací souprava Rio De Janeiro;Super akce!!! Ratanová sedací souprava je vyrobena z přírodního ratanu z masivních ratanových tyčí. Součástí soupravy je pohovka, 2 křesla, stolek a sada polstrů.;/nabytek_doplnky/nahledy/2677.jpg, /nabytek_doplnky/nahledy/4_2677.jpg;11990;584;Sleva 42%;Sedací soupravy malé;Konstrukce ratanové sedací soupravy je na většině míst trojitá a tím velice pevná. Křesla a pohovka jsou velice pohodlné díky rozložitému tvaru a  kvalitním polštářům. Barva ratanové kontrukce a výpletu je medová. Velikost pohovky je 118x75x74 cm, nosnost 180 kg. Velikost křesla je 68x75x74 cm, nosnost křesla je 125 kg. Výška sedu je 44 cm. Stolek má průměr 65 cm a je 52 cm vysoký.;1;1;1;Ratan;2 až 3 týdny;0;;
